country,quality,year,popularity,popularity_lag
Austria,Premium,1998,31.34093179598959,
Austria,Premium,1999,50.04802107622263,31.34093179598959
Austria,Premium,2000,43.686839751429375,50.04802107622263
Austria,Premium,2001,52.223911762478686,43.686839751429375
Austria,Premium,2002,77.9514169649752,52.223911762478686
Austria,Premium,2003,118.20588584044938,77.9514169649752
Austria,Premium,2004,117.47479125586182,118.20588584044938
Austria,Premium,2005,173.80040348432132,117.47479125586182
Austria,Premium,2006,226.15566451609158,173.80040348432132
Austria,Premium,2007,231.45114928153103,226.15566451609158
Austria,Premium,2008,372.52917023573644,231.45114928153103
Austria,Premium,2009,367.95890558234413,372.52917023573644
Austria,Premium,2010,394.57617974690686,367.95890558234413
Austria,Premium,2011,399.2066869384219,394.57617974690686
Austria,Premium,2012,421.1155148326967,399.2066869384219
Austria,Premium,2013,430.43351258628866,421.1155148326967
Austria,Premium,2014,362.72769353394597,430.43351258628866
Austria,Premium,2015,439.6774664951308,362.72769353394597
Austria,Premium,2016,486.45547707661547,439.6774664951308
Austria,Standard,1990,162.80599386547016,
Austria,Standard,1991,161.18859697705616,162.80599386547016
Austria,Standard,1992,159.42435817985336,161.18859697705616
Austria,Standard,1993,126.49208482103838,159.42435817985336
Austria,Standard,1994,378.01857280851925,126.49208482103838
Austria,Standard,1995,408.8935993431533,378.01857280851925
Austria,Standard,1996,439.75279861822133,408.8935993431533
Austria,Standard,1997,564.7561301454147,439.75279861822133
Austria,Standard,1998,595.4777041238021,564.7561301454147
Austria,Standard,1999,600.5762529146716,595.4777041238021
Austria,Standard,2000,624.0977107347054,600.5762529146716
Austria,Standard,2001,777.1415440845043,624.0977107347054
Austria,Standard,2002,810.4472716199801,777.1415440845043
Austria,Standard,2003,932.102662304377,810.4472716199801
Austria,Standard,2004,969.1670278608599,932.102662304377
Austria,Standard,2005,984.4638239321698,969.1670278608599
Austria,Standard,2006,1112.6374938759586,984.4638239321698
Austria,Standard,2007,1398.3506935759165,1112.6374938759586
Austria,Standard,2008,1552.6054449824887,1398.3506935759165
Austria,Standard,2009,1540.153725320235,1552.6054449824887
Austria,Standard,2010,1614.1752807828009,1540.153725320235
Austria,Standard,2011,1638.5349090756124,1614.1752807828009
Austria,Standard,2012,1975.0910766096904,1638.5349090756124
Austria,Standard,2013,1945.795330869524,1975.0910766096904
Austria,Standard,2014,2030.1049944561169,1945.795330869524
Austria,Standard,2015,2198.3873324756537,2030.1049944561169
Austria,Standard,2016,2426.5543797704113,2198.3873324756537
Austria,Super Premium,1990,0.0,
Austria,Super Premium,1991,0.0,0.0
Austria,Super Premium,1992,0.0,0.0
Austria,Super Premium,1993,0.0,0.0
Austria,Super Premium,1994,0.0,0.0
Austria,Super Premium,1995,0.0,0.0
Austria,Super Premium,1996,0.0,0.0
Austria,Super Premium,1997,0.0,0.0
Austria,Super Premium,1998,0.0,0.0
Austria,Super Premium,1999,0.0,0.0
Austria,Super Premium,2000,0.0,0.0
Austria,Super Premium,2001,0.0,0.0
Austria,Super Premium,2002,0.0,0.0
Austria,Super Premium,2006,1.209388580299955,
Austria,Super Premium,2007,0.0,1.209388580299955
Austria,Super Premium,2008,60.08535003802201,0.0
Austria,Super Premium,2009,59.928160518297084,60.08535003802201
Austria,Super Premium,2010,74.1324943766916,59.928160518297084
Austria,Super Premium,2011,67.92471986713448,74.1324943766916
Austria,Super Premium,2012,59.31204434263334,67.92471986713448
Austria,Super Premium,2013,70.75619384980088,59.31204434263334
Austria,Super Premium,2014,70.20536003882825,70.75619384980088
Austria,Super Premium,2015,77.52207961887831,70.20536003882825
Austria,Super Premium,2016,85.84508418999097,77.52207961887831
Belgium and Luxembourg,Premium,1990,0.0,
Belgium and Luxembourg,Premium,1991,0.0,0.0
Belgium and Luxembourg,Premium,1992,0.0,0.0
Belgium and Luxembourg,Premium,1993,0.0,0.0
Belgium and Luxembourg,Premium,1994,0.0,0.0
Belgium and Luxembourg,Premium,1995,0.0,0.0
Belgium and Luxembourg,Premium,1996,0.0,0.0
Belgium and Luxembourg,Premium,1997,0.0,0.0
Belgium and Luxembourg,Premium,1998,0.0,0.0
Belgium and Luxembourg,Premium,1999,18.767194268799145,0.0
Belgium and Luxembourg,Premium,2000,37.42672548900356,18.767194268799145
Belgium and Luxembourg,Premium,2001,69.90989546606365,37.42672548900356
Belgium and Luxembourg,Premium,2002,106.68932809844362,69.90989546606365
Belgium and Luxembourg,Premium,2003,138.53276988053764,106.68932809844362
Belgium and Luxembourg,Premium,2004,183.8365061063134,138.53276988053764
